CMD: ./SMHasher3 mum1.exact.unroll1 --test=SeedDifferential --extra
--- Testing mum1.exact.unroll1 "Mum-hash v1, unroll 2^1, exact mult"

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-64 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-64.

Default tier: 2^24 seeds per pair
   len  differential   collisions / seeds     log2 rate
    16  ~w0~w1                 0 / 2^24     < -24.0
    16  ~w0                    0 / 2^24     < -24.0
    16  ~w1              5659768 / 2^24        -1.6   !!!!!
    24  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    24  ~w0                    0 / 2^24     < -24.0
    24  ~w1                    0 / 2^24     < -24.0
    24  ~w1~w2                 0 / 2^24     < -24.0
    24  ~w2                    0 / 2^24     < -24.0
    32  ~w0~w1                 0 / 2^24     < -24.0
    32  ~w0                    0 / 2^24     < -24.0
    32  ~w1              2930997 / 2^24        -2.5   !!!!!
    32  ~w1~w2           8693878 / 2^24        -0.9   !!!!!
    32  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    32  ~w2              5655938 / 2^24        -1.6   !!!!!
    32  ~w3              5655938 / 2^24        -1.6   !!!!!
    48  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    48  ~w0              1520907 / 2^24        -3.5   !!!!!
    48  ~w1              1520907 / 2^24        -3.5   !!!!!
    48  ~w1~w2            505313 / 2^24        -5.1   !!!!!
    48  ~w2~w3                 0 / 2^24     < -24.0
    48  ~w3~w4           8694194 / 2^24        -0.9   !!!!!
    48  ~w2                    0 / 2^24     < -24.0
    48  ~w3              2934660 / 2^24        -2.5   !!!!!
    64  ~w0~w1                 0 / 2^24     < -24.0
    64  ~w0                    0 / 2^24     < -24.0
    64  ~w1               787610 / 2^24        -4.4   !!!!!
    64  ~w1~w2           8694115 / 2^24        -0.9   !!!!!
    64  ~w2~w3                 0 / 2^24     < -24.0
    64  ~w3~w4                 0 / 2^24     < -24.0
    64  ~w2              1518933 / 2^24        -3.5   !!!!!
    64  ~w3                    0 / 2^24     < -24.0
   100  ~w0~w1                 0 / 2^24     < -24.0
   100  ~w0                    0 / 2^24     < -24.0
   100  ~w1               109951 / 2^24        -7.3   !!!!!
   100  ~w1~w2            505539 / 2^24        -5.1   !!!!!
   100  ~w2~w3                 0 / 2^24     < -24.0
   100  ~w3~w4           4041278 / 2^24        -2.1   !!!!!
   100  ~w2                    0 / 2^24     < -24.0
   100  ~w3               211955 / 2^24        -6.3   !!!!!
   128  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   128  ~w0                57041 / 2^24        -8.2   !!!!!
   128  ~w1                57041 / 2^24        -8.2   !!!!!
   128  ~w1~w2           8698855 / 2^24        -0.9   !!!!!
   128  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   128  ~w3~w4           4042165 / 2^24        -2.1   !!!!!
   128  ~w2               109750 / 2^24        -7.3   !!!!!
   128  ~w3               109750 / 2^24        -7.3   !!!!!
   160  ~w0~w1                 0 / 2^24     < -24.0
   160  ~w0                    0 / 2^24     < -24.0
   160  ~w1                15326 / 2^24       -10.1   !!!!!
   160  ~w1~w2           2021808 / 2^24        -3.1   !!!!!
   160  ~w2~w3                 0 / 2^24     < -24.0
   160  ~w3~w4           8693927 / 2^24        -0.9   !!!!!
   160  ~w2                    0 / 2^24     < -24.0
   160  ~w3                29304 / 2^24        -9.2   !!!!!
   200  ~w0~w1                 0 / 2^24     < -24.0
   200  ~w0                    0 / 2^24     < -24.0
   200  ~w1                 2109 / 2^24       -13.0   !!!!!
   200  ~w1~w2           4042489 / 2^24        -2.1   !!!!!
   200  ~w2~w3                 0 / 2^24     < -24.0
   200  ~w3~w4            505618 / 2^24        -5.1   !!!!!
   200  ~w2                    0 / 2^24     < -24.0
   200  ~w3                 4056 / 2^24       -12.0   !!!!!
   240  ~w0~w1                 0 / 2^24     < -24.0
   240  ~w0                    0 / 2^24     < -24.0
   240  ~w1                  511 / 2^24       -15.0   !!!!!
   240  ~w1~w2           4040869 / 2^24        -2.1   !!!!!
   240  ~w2~w3                 0 / 2^24     < -24.0
   240  ~w3~w4                 0 / 2^24     < -24.0
   240  ~w2                    0 / 2^24     < -24.0
   240  ~w3                    0 / 2^24     < -24.0
   256  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   256  ~w0                  289 / 2^24       -15.8   !!!!!
   256  ~w1                  289 / 2^24       -15.8   !!!!!
   256  ~w1~w2           2021646 / 2^24        -3.1   !!!!!
   256  ~w2~w3                 0 / 2^24     < -24.0
   256  ~w3~w4           2022431 / 2^24        -3.1   !!!!!
   256  ~w2                    0 / 2^24     < -24.0
   256  ~w3                  577 / 2^24       -14.8   !!!!!
  1024  ~w0~w1                 0 / 2^24     < -24.0
  1024  ~w0                    0 / 2^24     < -24.0
  1024  ~w1                    0 / 2^24     < -24.0
  1024  ~w1~w2                 0 / 2^24     < -24.0
  1024  ~w2~w3                 0 / 2^24     < -24.0
