CMD: ./SMHasher3 mum2.exact.unroll1 --test=SeedDifferential --extra
--- Testing mum2.exact.unroll1 "Mum-hash v2, unroll 2^1, exact mult"

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-64 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-64.

Default tier: 2^24 seeds per pair
   len  differential   collisions / seeds     log2 rate
    16  ~w0~w1                 0 / 2^24     < -24.0
    16  ~w0                    0 / 2^24     < -24.0
    16  ~w1             16777216 / 2^24         0.0   !!!!!
    24  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    24  ~w0                    0 / 2^24     < -24.0
    24  ~w1                    0 / 2^24     < -24.0
    24  ~w1~w2                 0 / 2^24     < -24.0
    24  ~w2                    0 / 2^24     < -24.0
    32  ~w0~w1                 0 / 2^24     < -24.0
    32  ~w0                    0 / 2^24     < -24.0
    32  ~w1              8693631 / 2^24        -0.9   !!!!!
    32  ~w1~w2           8693631 / 2^24        -0.9   !!!!!
    32  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    32  ~w2             16777216 / 2^24         0.0   !!!!!
    32  ~w3             16777216 / 2^24         0.0   !!!!!
    48  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    48  ~w0              4509669 / 2^24        -1.9   !!!!!
    48  ~w1              4509669 / 2^24        -1.9   !!!!!
    48  ~w1~w2            504606 / 2^24        -5.1   !!!!!
    48  ~w2~w3                 0 / 2^24     < -24.0
    48  ~w3~w4           8695000 / 2^24        -0.9   !!!!!
    48  ~w2                    0 / 2^24     < -24.0
    48  ~w3              8695000 / 2^24        -0.9   !!!!!
    64  ~w0~w1                 0 / 2^24     < -24.0
    64  ~w0                    0 / 2^24     < -24.0
    64  ~w1              2334253 / 2^24        -2.8   !!!!!
    64  ~w1~w2           8695274 / 2^24        -0.9   !!!!!
    64  ~w2~w3                 0 / 2^24     < -24.0
    64  ~w3~w4                 0 / 2^24     < -24.0
    64  ~w2              4504877 / 2^24        -1.9   !!!!!
    64  ~w3                    0 / 2^24     < -24.0
   100  ~w0~w1                 0 / 2^24     < -24.0
   100  ~w0                    0 / 2^24     < -24.0
   100  ~w1               324906 / 2^24        -5.7   !!!!!
   100  ~w1~w2            504466 / 2^24        -5.1   !!!!!
   100  ~w2~w3                 0 / 2^24     < -24.0
   100  ~w3~w4           4041465 / 2^24        -2.1   !!!!!
   100  ~w2                    0 / 2^24     < -24.0
   100  ~w3               627903 / 2^24        -4.7   !!!!!
   128  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   128  ~w0               169084 / 2^24        -6.6   !!!!!
   128  ~w1               169084 / 2^24        -6.6   !!!!!
   128  ~w1~w2           8693761 / 2^24        -0.9   !!!!!
   128  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   128  ~w3~w4           4039711 / 2^24        -2.1   !!!!!
   128  ~w2               325621 / 2^24        -5.7   !!!!!
   128  ~w3               325621 / 2^24        -5.7   !!!!!
   160  ~w0~w1                 0 / 2^24     < -24.0
   160  ~w0                    0 / 2^24     < -24.0
   160  ~w1                45120 / 2^24        -8.5   !!!!!
   160  ~w1~w2           2022155 / 2^24        -3.1   !!!!!
   160  ~w2~w3                 0 / 2^24     < -24.0
   160  ~w3~w4           8696807 / 2^24        -0.9   !!!!!
   160  ~w2                    0 / 2^24     < -24.0
   160  ~w3                87339 / 2^24        -7.6   !!!!!
   200  ~w0~w1                 0 / 2^24     < -24.0
   200  ~w0                    0 / 2^24     < -24.0
   200  ~w1                 6312 / 2^24       -11.4   !!!!!
   200  ~w1~w2           4041299 / 2^24        -2.1   !!!!!
   200  ~w2~w3                 0 / 2^24     < -24.0
   200  ~w3~w4            504278 / 2^24        -5.1   !!!!!
   200  ~w2                    0 / 2^24     < -24.0
   200  ~w3                12125 / 2^24       -10.4   !!!!!
   240  ~w0~w1                 0 / 2^24     < -24.0
   240  ~w0                    0 / 2^24     < -24.0
   240  ~w1                 1685 / 2^24       -13.3   !!!!!
   240  ~w1~w2           4040095 / 2^24        -2.1   !!!!!
   240  ~w2~w3                 0 / 2^24     < -24.0
   240  ~w3~w4                 0 / 2^24     < -24.0
   240  ~w2                    0 / 2^24     < -24.0
   240  ~w3                    0 / 2^24     < -24.0
   256  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   256  ~w0                  853 / 2^24       -14.3   !!!!!
   256  ~w1                  853 / 2^24       -14.3   !!!!!
   256  ~w1~w2           2020182 / 2^24        -3.1   !!!!!
   256  ~w2~w3                 0 / 2^24     < -24.0
   256  ~w3~w4           2021083 / 2^24        -3.1   !!!!!
   256  ~w2                    0 / 2^24     < -24.0
   256  ~w3                 1669 / 2^24       -13.3   !!!!!
  1024  ~w0~w1                 0 / 2^24     < -24.0
  1024  ~w0                    0 / 2^24     < -24.0
  1024  ~w1                    0 / 2^24     < -24.0
  1024  ~w1~w2                 0 / 2^24     < -24.0
  1024  ~w2~w3                 0 / 2^24     < -24.0
