CMD: ./SMHasher3 mum3.exact.unroll3 --test=SeedDifferential --extra
--- Testing mum3.exact.unroll3 "Mum-hash v3, unroll 2^3, exact mult"

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-64 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-64.

Default tier: 2^24 seeds per pair
   len  differential   collisions / seeds     log2 rate
    16  ~w0~w1                 0 / 2^24     < -24.0
    16  ~w0                    0 / 2^24     < -24.0
    16  ~w1              8387452 / 2^24        -1.0   !!!!!
    24  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    24  ~w0                    0 / 2^24     < -24.0
    24  ~w1                    0 / 2^24     < -24.0
    24  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    24  ~w2                    0 / 2^24     < -24.0
    32  ~w0~w1                 0 / 2^24     < -24.0
    32  ~w0                    0 / 2^24     < -24.0
    32  ~w1              8390863 / 2^24        -1.0   !!!!!
    32  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    32  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    32  ~w2              8390863 / 2^24        -1.0   !!!!!
    32  ~w3              8390863 / 2^24        -1.0   !!!!!
    48  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    48  ~w0              8387961 / 2^24        -1.0   !!!!!
    48  ~w1              8387961 / 2^24        -1.0   !!!!!
    48  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    48  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    48  ~w3~w4          16777216 / 2^24         0.0   !!!!!
    48  ~w2              8387961 / 2^24        -1.0   !!!!!
    48  ~w3              8387961 / 2^24        -1.0   !!!!!
    64  ~w0~w1                 0 / 2^24     < -24.0
    64  ~w0                    0 / 2^24     < -24.0
    64  ~w1              8386573 / 2^24        -1.0   !!!!!
    64  ~w1~w2                 0 / 2^24     < -24.0
    64  ~w2~w3                 0 / 2^24     < -24.0
    64  ~w3~w4          16777216 / 2^24         0.0   !!!!!
    64  ~w2                    0 / 2^24     < -24.0
    64  ~w3              8386573 / 2^24        -1.0   !!!!!
   100  ~w0~w1                 0 / 2^24     < -24.0
   100  ~w0                    0 / 2^24     < -24.0
   100  ~w1                    0 / 2^24     < -24.0
   100  ~w1~w2                 0 / 2^24     < -24.0
   100  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   100  ~w3~w4                 0 / 2^24     < -24.0
   100  ~w2              3457105 / 2^24        -2.3   !!!!!
   100  ~w3              3457105 / 2^24        -2.3   !!!!!
   128  ~w0~w1                 0 / 2^24     < -24.0
   128  ~w0                    0 / 2^24     < -24.0
   128  ~w1                    0 / 2^24     < -24.0
   128  ~w1~w2                 0 / 2^24     < -24.0
   128  ~w2~w3                 0 / 2^24     < -24.0
   128  ~w3~w4                 0 / 2^24     < -24.0
   128  ~w2              5625436 / 2^24        -1.6   !!!!!
   128  ~w3              5625436 / 2^24        -1.6   !!!!!
   160  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   160  ~w0              1727273 / 2^24        -3.3   !!!!!
   160  ~w1              1727273 / 2^24        -3.3   !!!!!
   160  ~w1~w2          16777216 / 2^24         0.0   !!!!!
   160  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   160  ~w3~w4                 0 / 2^24     < -24.0
   160  ~w2              1727273 / 2^24        -3.3   !!!!!
   160  ~w3                    0 / 2^24     < -24.0
   200  ~w0~w1                 0 / 2^24     < -24.0
   200  ~w0               991601 / 2^24        -4.1   !!!!!
   200  ~w1               991601 / 2^24        -4.1   !!!!!
   200  ~w1~w2                 0 / 2^24     < -24.0
   200  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   200  ~w3~w4          16777216 / 2^24         0.0   !!!!!
   200  ~w2                    0 / 2^24     < -24.0
   200  ~w3               991601 / 2^24        -4.1   !!!!!
   240  ~w0~w1                 0 / 2^24     < -24.0
   240  ~w0              1585616 / 2^24        -3.4   !!!!!
   240  ~w1              1585616 / 2^24        -3.4   !!!!!
   240  ~w1~w2                 0 / 2^24     < -24.0
   240  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   240  ~w3~w4          16777216 / 2^24         0.0   !!!!!
   240  ~w2                    0 / 2^24     < -24.0
   240  ~w3              1585616 / 2^24        -3.4   !!!!!
   256  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   256  ~w0                    0 / 2^24     < -24.0
   256  ~w1                    0 / 2^24     < -24.0
   256  ~w1~w2          16777216 / 2^24         0.0   !!!!!
   256  ~w2~w3                 0 / 2^24     < -24.0
   256  ~w3~w4                 0 / 2^24     < -24.0
   256  ~w2                    0 / 2^24     < -24.0
   256  ~w3                    0 / 2^24     < -24.0
  1024  ~w0~w1                 0 / 2^24     < -24.0
  1024  ~w0                    0 / 2^24     < -24.0
  1024  ~w1                    0 / 2^24     < -24.0
  1024  ~w1~w2                 0 / 2^24     < -24.0
  1024  ~w2~w3          16777216 / 2^24         0.0   !!!!!
  1024  ~w3~w4                 0 / 2^24     < -24.0
