CMD: ./SMHasher3 mum3.exact.unroll2 --test=SeedDifferential --extra
--- Testing mum3.exact.unroll2 "Mum-hash v3, unroll 2^2, exact mult"

[[[ Seed Differential Tests ]]]

Fixed message pairs (m, m'), uniformly random seeds; counting seeds with hash(m) == hash(m').
Base message has w1 == ~w0; ~wi means 64-bit word i of m is complemented in m'.
Ideal rate is 2^-64 per seed; a row fails above max(3, E + 6*sqrt(E)), E = seeds * 2^-64.

Default tier: 2^24 seeds per pair
   len  differential   collisions / seeds     log2 rate
    16  ~w0~w1                 0 / 2^24     < -24.0
    16  ~w0                    0 / 2^24     < -24.0
    16  ~w1              8387452 / 2^24        -1.0   !!!!!
    24  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    24  ~w0                    0 / 2^24     < -24.0
    24  ~w1                    0 / 2^24     < -24.0
    24  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    24  ~w2                    0 / 2^24     < -24.0
    32  ~w0~w1                 0 / 2^24     < -24.0
    32  ~w0                    0 / 2^24     < -24.0
    32  ~w1              8390863 / 2^24        -1.0   !!!!!
    32  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    32  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    32  ~w2              8390863 / 2^24        -1.0   !!!!!
    32  ~w3              8390863 / 2^24        -1.0   !!!!!
    48  ~w0~w1                 0 / 2^24     < -24.0
    48  ~w0                    0 / 2^24     < -24.0
    48  ~w1                    0 / 2^24     < -24.0
    48  ~w1~w2                 0 / 2^24     < -24.0
    48  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    48  ~w3~w4                 0 / 2^24     < -24.0
    48  ~w2              5648141 / 2^24        -1.6   !!!!!
    48  ~w3                    0 / 2^24     < -24.0
    64  ~w0~w1          16777216 / 2^24         0.0   !!!!!
    64  ~w0              5783392 / 2^24        -1.5   !!!!!
    64  ~w1                    0 / 2^24     < -24.0
    64  ~w1~w2          16777216 / 2^24         0.0   !!!!!
    64  ~w2~w3          16777216 / 2^24         0.0   !!!!!
    64  ~w3~w4                 0 / 2^24     < -24.0
    64  ~w2                    0 / 2^24     < -24.0
    64  ~w3                    0 / 2^24     < -24.0
   100  ~w0~w1                 0 / 2^24     < -24.0
   100  ~w0                    0 / 2^24     < -24.0
   100  ~w1                    0 / 2^24     < -24.0
   100  ~w1~w2                 0 / 2^24     < -24.0
   100  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   100  ~w3~w4           8693897 / 2^24        -0.9   !!!!!
   100  ~w2              1460774 / 2^24        -3.5   !!!!!
   100  ~w3              1460774 / 2^24        -3.5   !!!!!
   128  ~w0~w1                 0 / 2^24     < -24.0
   128  ~w0                    0 / 2^24     < -24.0
   128  ~w1                    0 / 2^24     < -24.0
   128  ~w1~w2                 0 / 2^24     < -24.0
   128  ~w2~w3                 0 / 2^24     < -24.0
   128  ~w3~w4             15919 / 2^24       -10.0   !!!!!
   128  ~w2              1372724 / 2^24        -3.6   !!!!!
   128  ~w3              1372724 / 2^24        -3.6   !!!!!
   160  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   160  ~w0               389750 / 2^24        -5.4   !!!!!
   160  ~w1               389750 / 2^24        -5.4   !!!!!
   160  ~w1~w2          16777216 / 2^24         0.0   !!!!!
   160  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   160  ~w3~w4                 0 / 2^24     < -24.0
   160  ~w2               389750 / 2^24        -5.4   !!!!!
   160  ~w3                    0 / 2^24     < -24.0
   200  ~w0~w1                 0 / 2^24     < -24.0
   200  ~w0               119960 / 2^24        -7.1   !!!!!
   200  ~w1               119960 / 2^24        -7.1   !!!!!
   200  ~w1~w2                 0 / 2^24     < -24.0
   200  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   200  ~w3~w4           8694007 / 2^24        -0.9   !!!!!
   200  ~w2                    0 / 2^24     < -24.0
   200  ~w3               119960 / 2^24        -7.1   !!!!!
   240  ~w0~w1                 0 / 2^24     < -24.0
   240  ~w0                61533 / 2^24        -8.1   !!!!!
   240  ~w1                61533 / 2^24        -8.1   !!!!!
   240  ~w1~w2                 0 / 2^24     < -24.0
   240  ~w2~w3          16777216 / 2^24         0.0   !!!!!
   240  ~w3~w4           8694907 / 2^24        -0.9   !!!!!
   240  ~w2                    0 / 2^24     < -24.0
   240  ~w3                61533 / 2^24        -8.1   !!!!!
   256  ~w0~w1          16777216 / 2^24         0.0   !!!!!
   256  ~w0                    0 / 2^24     < -24.0
   256  ~w1                    0 / 2^24     < -24.0
   256  ~w1~w2          16777216 / 2^24         0.0   !!!!!
   256  ~w2~w3                 0 / 2^24     < -24.0
   256  ~w3~w4                 0 / 2^24     < -24.0
   256  ~w2                    0 / 2^24     < -24.0
   256  ~w3                    0 / 2^24     < -24.0
  1024  ~w0~w1                 0 / 2^24     < -24.0
  1024  ~w0                    0 / 2^24     < -24.0
  1024  ~w1                    0 / 2^24     < -24.0
  1024  ~w1~w2                 0 / 2^24     < -24.0
  1024  ~w2~w3          16777216 / 2^24         0.0   !!!!!
  1024  ~w3~w4           2021799 / 2^24        -3.1   !!!!!
